customer_id,name,language,city,segment,customer_since,lifetime_value,avg_order_value,preferred_payment_method,preferred_channel,historical_payment_success_rate,historical_recovery_rate,days_since_last_payment,customer_tenure,risk_segment
a062a727-0dee-5e24-8e34-3e67641638d8,Customer 000001,Kannada,Indore,consumer,2025-04-30T23:53:28+00:00,5880.11,904.39,netbanking,whatsapp,0.6829,0.4427,0,488,medium
217ac9cb-de69-5b45-8358-0cb203997eb3,Customer 000002,Hinglish,Bengaluru,consumer,2024-03-29T19:05:34+00:00,5099.07,624.60,debit_card,whatsapp,0.7923,0.2934,90,885,low
8bfb23cd-add4-5a68-b29a-3fbb2399333f,Customer 000003,Hinglish,Delhi,consumer,2025-06-13T00:48:02+00:00,2801.56,1621.28,debit_card,sms,0.8145,0.3960,13,444,medium
a90b7c50-95c0-5da7-b838-be90eaf3c364,Customer 000004,Tamil,Chennai,consumer,2024-09-16T09:42:33+00:00,6573.75,1601.17,upi,email,0.7257,0.4969,76,714,critical
ec0c2f00-1491-5a77-8d47-2c1439bf1e1a,Customer 000005,Malayalam,Delhi,consumer,2024-12-11T22:38:11+00:00,12833.29,1484.51,netbanking,email,0.7598,0.2222,57,628,high
0f3bed64-d74f-5a3c-bd14-0c407e3272d1,Customer 000006,Hinglish,Kochi,consumer,2023-11-05T19:29:30+00:00,12441.05,1334.87,emi,email,0.7734,0.5872,81,1030,low
24384b80-b505-5417-bdef-5859e9c1ef14,Customer 000007,Malayalam,Chennai,consumer,2026-04-30T10:24:04+00:00,6872.09,1216.29,netbanking,email,0.7345,0.2856,25,123,low
562d5b09-d878-56b6-87ac-4d66e20092ec,Customer 000008,Kannada,Bengaluru,enterprise,2025-08-18T23:18:15+00:00,74212.54,10894.66,credit_card,whatsapp,0.7705,0.4989,76,378,low
c29acf7c-339e-5164-abea-b634722b715a,Customer 000009,Tamil,Pune,consumer,2024-02-28T18:58:42+00:00,4851.51,2367.15,upi,whatsapp,0.7822,0.4276,33,915,low
8d1218ef-90ac-5924-8a51-01832fcc81ee,Customer 000010,Tamil,Indore,consumer,2024-05-28T07:46:35+00:00,9856.11,950.03,debit_card,sms,0.7514,0.2010,45,825,high
cdf525b3-70ca-5e21-95c0-9af2871258ea,Customer 000011,Hinglish,Coimbatore,consumer,2026-04-29T01:56:01+00:00,6625.17,2172.35,debit_card,email,0.8147,0.4272,23,124,medium
1953d81a-c9ba-59c0-90ed-6834fb665f18,Customer 000012,Marathi,Kochi,consumer,2024-12-09T10:34:44+00:00,4088.45,521.25,wallet,whatsapp,0.7576,0.5053,27,630,medium
2467e425-f840-5986-abb5-3d3450f83f00,Customer 000013,Hinglish,Pune,high_value,2023-07-10T00:14:32+00:00,121592.17,16159.40,upi,sms,0.8096,0.7363,25,1148,medium
92546d45-8a5d-5aa3-97cb-d8ed4e4782a2,Customer 000014,English,Lucknow,consumer,2025-04-23T09:47:17+00:00,5086.06,721.80,credit_card,sms,0.7205,0.3030,18,495,low
8f24d3be-3bf3-52f5-a2a0-f696f6d87417,Customer 000015,Tamil,Coimbatore,consumer,2024-01-13T04:28:57+00:00,5614.66,657.86,wallet,sms,0.8298,0.5999,51,961,medium
4f40fa44-8d59-547e-b5f5-278b8937cca2,Customer 000016,Kannada,Coimbatore,consumer,2025-01-23T04:46:04+00:00,8374.80,838.44,netbanking,email,0.8289,0.2408,4,585,medium
f0a19020-1b83-50de-90a9-ddd5bf9ff80b,Customer 000017,Gujarati,Kochi,enterprise,2023-03-06T14:32:06+00:00,39730.09,12226.19,wallet,whatsapp,0.7525,0.4459,36,1274,low
5a0b634c-8027-5e3d-9ef1-756b92cc63f7,Customer 000018,Marathi,Mumbai,SMB,2025-12-30T05:19:07+00:00,19237.70,3667.66,upi,whatsapp,0.8672,0.6917,19,244,medium
f9a4ff66-efc4-5861-a7f9-a9f18f7c5cf8,Customer 000019,Malayalam,Kolkata,consumer,2024-12-09T06:26:43+00:00,881.31,452.98,emi,email,0.7896,0.2853,39,630,low
52a897d7-0759-5443-b2bb-dcbc45ee439b,Customer 000020,Gujarati,Kolkata,SMB,2024-06-25T10:45:29+00:00,49101.78,4822.64,credit_card,whatsapp,0.8242,0.4340,56,797,medium
a9fb3d9d-7243-5695-9f39-2d895a438bc7,Customer 000021,Marathi,Kolkata,SMB,2024-12-12T13:51:43+00:00,24165.23,3385.85,upi,whatsapp,0.8856,0.3719,12,627,medium
ac6bead2-8c67-54a7-8dc0-a87667f94518,Customer 000022,Kannada,Ahmedabad,consumer,2025-01-09T08:25:58+00:00,1286.42,969.46,netbanking,email,0.7179,0.2875,84,599,high
067aa27c-cc22-5897-a036-736ce11caf17,Customer 000023,Marathi,Lucknow,consumer,2025-07-30T12:22:39+00:00,1971.18,934.10,upi,email,0.6968,0.2544,75,397,medium
78a11150-d4d4-5efb-ae1d-06ba924329fc,Customer 000024,Hinglish,Indore,high_value,2024-07-22T20:27:25+00:00,94398.61,28209.61,upi,email,0.8001,0.4975,51,770,low
e22acf91-7453-5c12-81f4-5bb615465f73,Customer 000025,Malayalam,Surat,consumer,2023-05-02T06:35:03+00:00,3438.34,1115.27,upi,sms,0.8190,0.4403,67,1217,medium
229c4f1c-3678-5ef0-ba20-eacba033240f,Customer 000026,Bengali,Kochi,consumer,2024-05-21T01:14:07+00:00,6358.88,914.53,debit_card,whatsapp,0.8001,0.3738,77,832,medium
