session_id,customer_id,cart_value,items,started_at,payment_attempted,payment_method_attempted,abandoned_at,status,device
c8001fe6-d23d-4521-afad-7ecb7fa3d32c,c2a25072-ce33-5fd0-b5c7-810e65e93b74,1701.82,4,2023-11-26T02:41:07+00:00,true,upi,,completed,android
ca0f7d1a-8d37-47df-98aa-91f66faaebee,8085c70f-0832-5840-ae19-cae13ac2cfc7,914.58,3,2024-09-14T15:23:29+00:00,true,upi,,completed,android
6f9b8863-d54f-4adb-821c-7744df3df9c6,095e20c6-a38a-533d-a84f-31c39ae26098,457.30,8,2024-10-16T06:18:38+00:00,true,debit_card,,completed,ios
c9df3573-cd13-4b4a-94ee-5c385ba2b382,e6a48db7-ae34-5ed0-adee-cc0c7734cdf9,22273.48,8,2024-07-21T22:16:35+00:00,false,,2024-07-22T00:48:35+00:00,abandoned,android
46177f06-1f54-430f-9e4a-6e09adc7f55b,82f0bd8a-8572-5937-83b4-e3f04947f398,4713.41,3,2024-06-28T16:23:08+00:00,true,wallet,,completed,ios
d7adfd70-b591-449c-830c-c778abdfe355,0b0f1c89-c731-5d8d-9fd6-6d3839dd04a8,745.59,2,2024-12-19T14:38:25+00:00,true,wallet,,completed,web
eceb095c-e10f-4055-869c-4ddb84541db5,6dd4cef3-02bb-53bd-ba38-1e640df673e6,2362.08,2,2024-07-19T16:22:37+00:00,true,emi,,completed,android
60b20585-0b99-475b-8fd7-6fcf06e61386,7b4ca5f1-663a-5a7e-93fb-fbbf29e6cd81,837.77,4,2024-12-20T06:23:59+00:00,false,,2024-12-20T08:46:59+00:00,abandoned,ios
bac4b33f-568b-49fd-86d3-c91c89cf4289,063c4aea-19e0-550f-8a7d-35e82d2e617b,33277.93,5,2024-06-26T06:01:12+00:00,true,wallet,,completed,android
9bd470a2-5894-4f83-a656-6f8f0e4ca5fc,b3240f5a-53ff-5d9e-abed-b073a9cbeb5e,3752.68,6,2024-01-10T23:28:25+00:00,false,,2024-01-10T23:45:25+00:00,abandoned,android
60f70278-cc12-4857-93c5-b60bcf410537,a2d29218-2a3d-5075-a841-ba6682a76643,2170.39,2,2023-10-16T23:02:27+00:00,false,,2023-10-17T01:32:27+00:00,abandoned,web
d43ea1f6-fdc3-4843-b357-30697ef0c71f,8710b68b-c296-56af-9b64-76fb4ff7d4c2,5728.58,3,2024-07-30T21:30:16+00:00,true,debit_card,,completed,android
80c1aec5-73af-43a4-a632-ca0011adadd1,55b0f5e6-87b0-568f-84c3-1fa08153ea5d,819.03,1,2024-08-11T16:14:22+00:00,true,netbanking,,completed,web
d203dad3-e6cb-4530-9203-766464fb7991,b0fc017e-5187-5d0c-bb22-cb06f9c653d3,2929.27,1,2024-12-24T22:49:17+00:00,false,,2024-12-25T00:37:17+00:00,abandoned,android
b7c167cd-d819-4a0d-ad70-71fc26085ab8,d0a4350c-13fe-5062-bb27-34dd114ceaba,869.22,4,2024-11-04T11:09:11+00:00,true,wallet,,completed,web
f0a247ff-4a52-4744-8bd8-24e42df9f957,a6a423ed-85da-52fe-baa2-d985b985a923,834.98,8,2024-12-23T05:24:20+00:00,false,,2024-12-23T07:45:20+00:00,abandoned,android
02ff36d0-9f3f-4cba-92ba-a0033901f56a,29ad1be8-454d-56e7-adf2-ed49aeba147e,1303.34,7,2024-10-16T10:41:06+00:00,true,upi,2024-10-16T12:35:06+00:00,abandoned,ios
27a447e5-44aa-4f0e-aef2-fa5439d5e4db,df863e2b-cca0-5909-8fb9-3071bfbc8297,2594.20,1,2024-10-23T17:21:31+00:00,false,,2024-10-23T18:11:31+00:00,abandoned,web
8f4c7bdf-1521-444f-9be0-45635a7a3216,bc86a131-85b5-512b-a63c-9fc604cfe53a,365.98,3,2024-05-18T19:44:40+00:00,false,,2024-05-18T22:03:40+00:00,abandoned,web
006f1227-cf00-49ba-be08-0ba3d7c6054a,e117f5f1-f3b4-5cfd-943a-2257bd00d38c,912.19,8,2024-12-03T23:43:05+00:00,true,credit_card,,completed,android
7d4e8c70-8085-4505-9a0b-ada82c4efa2c,0719e098-07f2-5549-adac-f325f0661c69,1198.46,4,2024-08-14T03:25:08+00:00,true,upi,,completed,web
f6a4c139-c673-4ab7-9b4c-6cd9e6aa1b65,2fd2166a-9fd7-5693-92ba-c270fcc2edb7,752.81,6,2024-10-19T21:36:44+00:00,true,upi,2024-10-19T23:15:44+00:00,abandoned,android
cc6eb503-752e-4675-9865-72c0bb8d1df5,c5e4ee3d-43ab-5557-a0a8-5c1a69ab3ea3,2638.81,8,2024-09-25T00:12:24+00:00,false,,2024-09-25T01:34:24+00:00,abandoned,android
4899e31c-0096-4850-ad97-17640e44168c,7d6982ce-ce16-560d-9745-3fe261ff663c,22537.30,8,2024-07-21T02:06:39+00:00,true,upi,,completed,android
