recovery_id,customer_id,event_id,action,channel,timestamp,message,outcome,amount_recovered,eventually_recovered,recovered_amount,recovery_timestamp,recovery_action,time_to_recovery_hours,organic_recovery_probability,incremental_recovery,control_group,original_amount,payment_method
ef12087c-aa6d-45e4-b1ca-cd9f421ee426,30f5e33d-221c-5d81-8e1f-0f5125f99288,4b70cb59-f5ff-41ab-b447-27b214606aaf,no_action,whatsapp,2023-09-13T23:08:40+00:00,No Action for SMB account,unrecovered,0.00,false,0.00,,no_action,,0.4177,0.00,false,16090.68,debit_card
f079568f-8bff-4f69-af79-758de73e5c37,8d03845d-67a0-556c-8808-c83af46e0a02,fcc1597e-d1cb-45e8-960e-e525ed7ed661,email,email,2024-05-20T14:55:17+00:00,Email for consumer account,unrecovered,0.00,false,0.00,,email,,0.2281,0.00,true,4672.73,wallet
0869e7ac-1fb6-4837-8d3c-dba3e863bd7f,0bf0e024-c419-5c01-9b63-a857a6359489,c7ba6c1a-125e-4995-a9b7-d85586c06d31,email,email,2024-09-21T05:58:23+00:00,Email for SMB account,recovered,4428.74,true,4428.74,2024-09-26T14:24:36.443539+00:00,email,128.44,0.6579,4428.74,false,5530.01,upi
a6af2460-c040-4600-838f-1dd7869a2204,4b1aa853-e1c9-5746-8ee5-24194d941a4a,de3a22a6-0e64-4f0f-929c-833f63779b9c,no_action,whatsapp,2024-01-15T14:38:21+00:00,No Action for consumer account,unrecovered,0.00,false,0.00,,no_action,,0.0809,0.00,true,1387.49,wallet
cfae6b0e-b92a-43a9-8a9c-7dd5c19ac2be,f2056629-47e4-5c94-b095-c43896a97b24,29cfd3a6-b0f3-47ea-8eae-65c6478e85af,retry,whatsapp,2024-08-18T23:26:27+00:00,Retry for consumer account,recovered,1046.04,true,1046.04,2024-08-28T10:33:59.745923+00:00,retry,227.13,0.4333,1046.04,false,1246.95,wallet
2141168e-22db-4656-9eea-21152558c5d0,14b17166-06f7-5f28-997e-385a8f903754,ae363efa-84a1-4bff-8843-d39635b7679f,whatsapp,whatsapp,2024-02-06T02:40:59+00:00,Whatsapp for consumer account,recovered,5919.95,true,5919.95,2024-02-09T05:15:00.456951+00:00,whatsapp,74.57,0.3338,5919.95,false,6355.52,credit_card
66fa0f13-bc50-49b8-8516-0db9b1e49e30,5652f2d7-e5e9-5fe4-8ebd-455c0b5ead2b,e69de0c0-bc2e-4783-a673-7e986d7db688,delayed_retry,whatsapp,2024-12-02T19:01:28+00:00,Delayed Retry for SMB account,unrecovered,0.00,false,0.00,,delayed_retry,,0.4531,0.00,true,2190.92,upi
815ad415-845f-41d1-b79f-a116f45b057b,c9f90f06-06f5-5f61-bd5e-b03986217328,5b96d8c0-c933-4ab8-bf7c-a3a010e5cf39,promise_to_pay,email,2024-03-06T00:37:58+00:00,Promise To Pay for consumer account,unrecovered,0.00,false,0.00,,promise_to_pay,,0.3453,0.00,false,2921.35,upi
50cfba83-ad5d-42f7-ad39-6992e0c0300d,edf02304-2f00-5b01-a256-0a100f7a9252,57f74c5c-c138-47d5-b534-d8a41168b035,no_action,sms,2024-01-08T01:45:55+00:00,No Action for SMB account,unrecovered,0.00,false,0.00,,no_action,,0.4463,0.00,false,9420.54,credit_card
65181c5a-689b-4666-9c58-8ea728cb88da,15f4f1f8-8634-5bdf-951f-46caca650a44,35bf723c-6de1-414d-8d59-c71186d31d0c,email,email,2024-04-08T08:10:14+00:00,Email for consumer account,recovered,840.62,true,840.62,2024-04-16T13:54:39.269462+00:00,email,197.74,0.4530,840.62,false,946.86,netbanking
6631044b-c722-4111-89b8-8e2d8891ecf2,fd811bec-1170-5289-92cf-7a1f0cbd27bb,6882776f-81fc-4962-9334-e767bcff74de,whatsapp,whatsapp,2023-12-14T15:02:32+00:00,Whatsapp for consumer account,recovered,3927.10,true,3927.10,2023-12-19T21:40:00.254900+00:00,whatsapp,126.62,0.4379,0.00,true,4269.39,netbanking
d669f6b5-f5d6-4063-ac90-08b38a03650c,f334c9dc-2144-5555-b0f9-2ae9bdffd7f4,25dc5ea8-c448-4161-97d4-f240234ea243,whatsapp,whatsapp,2024-10-18T06:30:06+00:00,Whatsapp for consumer account,recovered,3096.31,true,3096.31,2024-10-19T02:44:49.854355+00:00,whatsapp,20.25,0.4803,3096.31,false,3447.46,credit_card
3119f823-d9da-442f-949c-e35aacceb477,3bd7ec77-1ed7-53d6-b664-1e83e207d12c,2e04da04-2afe-47e7-bb14-3eee6877eff9,payment_link,whatsapp,2024-08-24T03:25:44+00:00,Payment Link for SMB account,recovered,11111.73,true,11111.73,2024-08-27T20:58:40.143765+00:00,payment_link,89.55,0.1529,11111.73,false,11207.77,upi
b7d5d0c1-de93-4ead-808d-f82ffa76774a,c62321be-5193-5817-895c-9985aebd3d5b,2da25a42-68d1-46c1-9e15-0c4f8de03c4d,sms,sms,2024-10-23T09:22:58+00:00,Sms for consumer account,unrecovered,0.00,false,0.00,,sms,,0.3204,0.00,true,6637.58,credit_card
6c200179-7fc9-4382-bc8e-b1eddb5edd12,3c11c980-e743-50f2-991a-c32d43b32b1c,1cb1d8ec-bba7-46a0-8bea-38cd896e2a0c,delayed_retry,whatsapp,2024-01-25T07:06:44+00:00,Delayed Retry for consumer account,recovered,900.52,true,900.52,2024-01-29T16:22:57.243925+00:00,delayed_retry,105.27,0.4391,900.52,false,1000.31,wallet
51270357-2da5-4915-af8d-4666c931740c,5cac152a-41eb-5129-b2a8-eb14f0a08f70,d7650011-c570-467d-9037-cca4624cdcc3,sms,sms,2024-07-27T18:10:10+00:00,Sms for consumer account,unrecovered,0.00,false,0.00,,sms,,0.2540,0.00,true,2103.67,debit_card
5dbb46af-570d-4d80-b3a3-437307129a63,897ecc58-c885-5448-8802-1121291611da,9d58d800-388e-417d-b6a8-83b3001a5ea0,retry,whatsapp,2024-06-09T09:50:06+00:00,Retry for consumer account,unrecovered,0.00,false,0.00,,retry,,0.2561,0.00,false,2763.37,credit_card
