subscription_id,customer_id,plan,amount,billing_cycle,status,failed_attempts,next_billing_date,created_at
f0d54516-352e-4787-80a8-bbe505b6c5a4,00e89f69-02a9-5e2d-9ddf-b4cdf037f149,scale,1892.04,monthly,active,0,2024-08-14T20:50:27+00:00,2024-07-31T20:50:27+00:00
9de09857-be81-4f82-9f94-1beef48792e7,ca0f54eb-0cdf-5114-bc38-aef0f978270e,growth,1284.79,monthly,active,0,2024-12-13T09:52:25+00:00,2024-12-06T09:52:25+00:00
fe454c00-3530-4deb-93f1-ab1c77d2361f,74fab6c1-4352-510d-a042-cbc09d4de701,growth,5148.22,monthly,active,0,2024-03-11T05:48:59+00:00,2024-02-26T05:48:59+00:00
c724c348-0c81-4af0-a519-5cb279d21938,e30eacd9-d689-5f4c-b52c-8a4ffac1a911,scale,2530.60,monthly,active,0,2023-09-25T01:30:52+00:00,2023-09-18T01:30:52+00:00
d73feef4-f3c8-4c8e-b50e-67af9da01f3b,0fd52393-21b1-504a-b5a7-6d3c87636b71,growth,15369.05,monthly,active,0,2024-07-31T03:15:24+00:00,2024-07-17T03:15:24+00:00
e9d55144-be02-42a2-a49a-da8614348c42,b685364f-6a23-5904-834b-1de5a0edadc4,starter,1645.76,monthly,active,0,2024-03-22T19:09:46+00:00,2024-02-21T19:09:46+00:00
dca4cab2-3013-4166-a5f2-f5a1443032d1,e65b7b36-3326-5681-a88d-f5569ef02f34,starter,2433.38,monthly,active,0,2024-05-18T05:32:24+00:00,2024-05-11T05:32:24+00:00
30f22cf3-cfa2-4df8-a43a-88da589b685c,3a8f3364-45f3-5c3f-b673-8fc2fadcdeac,scale,3835.61,monthly,active,0,2024-12-27T05:15:53+00:00,2024-12-20T05:15:53+00:00
652fa774-81e0-4a5a-a03a-b32c9f6d4e6c,e583fd86-a373-5ed6-9649-b26116e925d3,starter,10660.56,monthly,past_due,0,2024-02-02T01:58:04+00:00,2024-01-19T01:58:04+00:00
093e6acb-8b03-45cd-a2fe-e466e2c06299,5a1170ba-8328-51a6-9ef9-19c8fdf12a1f,starter,1717.02,quarterly,cancelled,0,2024-06-20T03:04:58+00:00,2024-06-06T03:04:58+00:00
b43b7889-f25b-462f-b1eb-41284ff16247,ed29b003-1545-5fff-8157-b5f3e1f04175,starter,1854.15,monthly,active,0,2024-09-12T11:57:01+00:00,2024-09-05T11:57:01+00:00
c17495b4-af20-4b5e-99c1-42db68c8d3f6,8be2ebb1-ea12-564c-8988-76e027fc7e79,starter,2507.03,monthly,active,0,2024-06-11T00:29:48+00:00,2024-05-12T00:29:48+00:00
9fc137db-11b5-44cc-af6e-bca9f0d1cf58,2b7c3270-8ce4-5888-9f96-3ac545f7b4d2,growth,2996.32,annual,cancelled,1,2024-10-13T01:31:35+00:00,2024-09-29T01:31:35+00:00
1aef3315-449b-4963-b61e-a0da5ddeb2bd,a0e39e42-4caf-5299-8f6f-e051b600baca,growth,5221.11,monthly,active,0,2024-07-28T22:41:40+00:00,2024-07-14T22:41:40+00:00
f0428b1b-c02c-4880-a463-20fb5eefee40,97c00ad7-abb8-58f8-b426-099a058bf3b6,scale,2022.42,monthly,active,1,2024-06-24T11:19:27+00:00,2024-06-10T11:19:27+00:00
e867b605-3b52-4274-8133-92552e214a37,06c4190d-1273-5540-bd6e-f6f0d218e83c,growth,1909.47,monthly,past_due,0,2024-10-22T16:46:39+00:00,2024-09-22T16:46:39+00:00
1ffe9d4f-be04-49fb-b7f3-15478a6450c2,e8e5c6a4-2eee-575a-b34f-71fa807155b6,scale,11269.25,quarterly,active,1,2024-08-03T13:09:34+00:00,2024-07-20T13:09:34+00:00
